symbol,detected,score,case,strength,horizon_days,horizon_tf,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_spread,collapsing,growth_x,failures,error
BTCUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,52,1,1,10,,0,1.16,,
ETHUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,66,1,1,5,,0,1.19,,
SOLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,70,2,1,5,,0,1.27,,
BLESSUSDT,1,77,flow_fuel,сильный,5,неделя,0.0,0.0,0.0,0.0,59.0,0.0,0.007976425813494475,118,9,8,1,,0,9.27,,
ZECUSDT,1,76,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,55.6,0.0,365.2209466794643,217,17,17,10,,0,3.74,flow_hidden,
HYPEUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,47.79255516990018,119,7,6,5,,0,3.76,,
XRPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,79,0,0,10,,0,1.37,,
1000RATSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,173,4,4,10,,0,3.25,,
BICOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,178,2,2,10,,0,3.87,flow_churn,
DOGEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,83,0,0,10,,0,1.36,,
ADAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,79,0,0,1,,0,1.19,,
BNBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,123,0,0,5,,0,1.17,,
BANKUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,194,6,6,1,,0,30.26,flow_churn;flow_hidden;flow_taker,
AKEUSDT,1,72,flow_churn,сильный,2,дни,0.0,0.0,48.7,0.0,0.0,0.0,0.0031325000000000003,149,9,9,5,,0,39.91,,
BEATUSDT,1,87,flow_hidden,экстремальный,5,неделя,76.5,0.0,0.0,0.0,0.0,0.0,2.661815024890078,88,9,7,3,,0,89.62,,
GIGGLEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,54,4,2,2,,0,0.0,,
ENAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,98,2,2,10,,0,1.17,,
HOMEUSDT,0,26,none,,0,,0.0,0.0,0.0,25.9,0.0,0.0,,143,2,2,3,,0,4.56,,
1000PEPEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,66,1,0,10,,0,2.0,,
UNIUSDT,1,76,flow_fuel,сильный,2,дни,0.0,0.0,0.0,0.0,55.6,0.0,3.59117352302986,110,4,4,5,,0,1.35,flow_churn,
KAITOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,176,15,13,1,,0,5.19,flow_churn,
ICNTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,117,2,2,5,,0,2.67,,
UAIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,101,10,8,5,,0,5.3,flow_churn;flow_taker,
WLDUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,0.29980000000000007,150,5,4,1,,0,3.2,,
PUMPUSDT,1,83,flow_fuel,сильный,2,дни,0.0,0.0,21.3,0.0,69.4,0.0,0.0016946119843160327,48,3,3,5,,0,2.0,,
VICUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,205,2,2,10,,0,1.11,,
KOMAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,148,5,5,10,,0,5.83,,
LINKUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,79,1,1,10,,0,1.14,flow_taker,
SKYAIUSDT,0,41,none,,0,,0.0,0.0,0.0,0.0,41.3,0.0,,189,2,2,5,,0,31.89,,
AAVEUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,82.39000000000001,88,3,3,10,,0,1.14,,
UBUSDT,1,71,flow_fuel,сильный,7,неделя,0.0,0.0,0.0,0.0,47.2,0.0,0.07380999999999999,134,12,11,1,,0,13.73,,
ONDOUSDT,1,76,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,55.6,0.0,0.34778354349812707,117,4,3,5,,0,1.17,flow_taker,
SUIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,67,0,0,1,,0,1.53,,
ALLOUSDT,1,71,flow_fuel,сильный,7,неделя,0.0,0.0,0.0,0.0,47.2,0.0,0.22487316365828128,101,7,6,3,,0,12.39,flow_churn,
COTIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,107,4,3,10,,0,1.09,,
