symbol,detected,score,case,strength,horizon_days,horizon_tf,dormant,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_dir,vortex_str,collapsing,delta_slope,buy_share,growth_x,peak_age,drop_pct,failures,rejects,error
AKEUSDT,1,72,flow_fuel,сильный,2,дни,0.0,0.0,0.0,0.0,0.0,46.8,0.0,0.00167565,100,4,3,3,up,0.107,0,0.01683,0.511,74.15,0,49.3,,flow_dormant=база не была тихой: оборот 14.19 к падению > 0.95 | flow_hidden=цена растёт: наклон 0.05173 > 0.002 | flow_leverage=цена идёт: +79.4% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 5.22 > 0.95,
ACEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,134,12,9,10,up,0.231,0,-0.00615,0.4987,1.43,223,81.0,,flow_dormant=цикла не было: рост до пика x1.43 < x3.0 | flow_hidden=цена растёт: наклон 0.00872 > 0.002 | flow_leverage=цена идёт: +340.6% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
EDENUSDT,1,55,flow_churn,умеренный,7,неделя,0.0,0.0,0.0,30.2,0.0,0.0,0.0,0.050026666666666664,60,9,6,3,up,0.099,0,-0.0068,0.4953,6.82,84,79.7,,flow_dormant=база не была тихой: оборот 1.04 к падению > 0.95 | flow_hidden=поток не растёт: наклон -0.00680 < 0.01 | flow_leverage=цена идёт: +61.7% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
ZECUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,130,16,11,10,none,0.0,0,0.00676,0.5034,3.74,86,63.7,,flow_dormant=отскока не было: 11.5% < 30.0% | flow_hidden=цена растёт: наклон 0.00247 > 0.002 | flow_leverage=фандинг не отрицательный: 7.7% APR > -5.0% | flow_spring=событий за 24 баров 0 < 2,
APRUSDT,1,56,flow_churn,умеренный,2,дни,0.0,0.0,0.0,25.4,0.0,68.5,0.0,0.5142333333333333,66,9,5,3,none,0.0,0,0.01028,0.5112,10.14,2,67.3,,flow_dormant=отскока не было: 30.0% < 30.0% | flow_hidden=цена растёт: наклон 0.00712 > 0.002 | flow_leverage=цена идёт: +132.6% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
TUTUSDT,1,76,flow_fuel,сильный,2,дни,0.0,0.0,0.0,0.0,0.0,51.4,0.0,0.012403333333333332,108,7,5,10,up,0.229,0,0.01841,0.5093,42.59,5,91.6,,flow_dormant=база не была тихой: оборот 1.08 к падению > 0.95 | flow_hidden=цена растёт: наклон 0.04090 > 0.002 | flow_leverage=цена идёт: +79.1% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
HYPEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,75,6,5,10,down,0.243,0,-0.01676,0.4882,3.76,59,33.6,,flow_dormant=падение 33.6% < 45.0% | flow_hidden=поток не растёт: наклон -0.01676 < 0.01 | flow_leverage=фандинг не отрицательный: 11.0% APR > -5.0% | flow_spring=событий за 24 баров 0 < 2,
CYSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,29,1,1,3,none,0.0,0,0.02428,0.5122,15.16,3,52.4,,flow_dormant=отскока не было: 5.7% < 30.0% | flow_hidden=цена растёт: наклон 0.02188 > 0.002 | flow_leverage=цена идёт: +323.2% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
VELVETUSDT,1,53,flow_churn,умеренный,7,неделя,0.0,0.0,0.0,22.2,0.0,54.8,0.0,0.8428500000000001,113,14,9,10,up,0.211,0,-0.01193,0.4933,38.07,46,88.1,,flow_dormant=база не была тихой: оборот 13.04 к падению > 0.95 | flow_hidden=поток не растёт: наклон -0.01193 < 0.01 | flow_leverage=цена идёт: +130.5% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
PUMPUSDT,1,100,flow_fuel,экстремальный,2,дни,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.002345666666666667,38,7,3,10,none,0.0,0,0.00471,0.5031,2.0,198,65.8,,flow_dormant=цикла не было: рост до пика x2.00 < x3.0 | flow_hidden=цена растёт: наклон 0.01271 > 0.002 | flow_leverage=цена идёт: +32.7% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 1.51 > 0.95,
