symbol,detected,score,case,strength,horizon_days,horizon_tf,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,vortex_scale,vortex_spread,collapsing,growth_x,failures,error
EWYUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,54,2,1,0.0758,0,0.0,,
SAMSUNGUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,13,0,1,0.0378,0,1.14,,
ZECUSDT,1,85,flow_spring,экстремальный,25,недели,0.0,66.0,0.0,0.0,55.6,0.0,365.619979324464,218,6,2,0.0412,0,3.74,,
COTIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,105,3,5,0.1803,0,1.09,,
DOGEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,86,0,2,0.2759,1,1.36,,
MUUUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
BNBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,126,0,1,0.2521,1,1.17,,
QQQUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,47,0,3,0.3313,0,0.0,,
UNIUSDT,1,85,flow_churn,экстремальный,25,недели,0.0,0.0,66.5,0.0,53.8,0.0,3.2858881704788825,104,2,10,0.0386,0,1.35,,
INTCUSDT,1,83,flow_fuel,сильный,12,недели,0.0,0.0,0.0,0.0,69.4,0.0,82.72306723731514,65,5,0,0.0,1,3.57,,
AXTIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
AKEUSDT,0,42,none,,0,,0.0,0.0,42.4,0.0,0.0,0.0,,147,6,0,0.0,0,0.0,,
ADAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,77,0,2,0.1251,0,1.19,,
NVDAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,32,0,3,0.1552,0,0.0,,
AAPLUSDT,1,85,flow_churn,экстремальный,2,дни,0.0,0.0,72.7,0.0,0.0,0.0,290.6399010214268,37,4,1,0.4122,0,0.0,,
1000PEPEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,64,0,2,0.075,1,2.0,,
CRCLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,24,0,2,0.1075,1,2.54,,
MSTRUSDT,1,93,flow_churn,экстремальный,12,недели,0.0,0.0,88.0,0.0,0.0,0.0,86.35000000000001,39,3,3,0.2319,0,1.69,,
MRVLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,4,0,1,0.0097,1,2.1,,
AAVEUSDT,1,82,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,67.2,0.0,80.31,90,2,2,0.148,1,1.14,,
NBISUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,2,0,1,0.0816,1,1.51,,
DEXEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,251,2,0,0.0,0,29.1,,
NEARUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,1.5929991595584978,138,4,0,0.0,1,3.67,,
PUMPUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,0.0016933919544418626,46,4,1,0.35,0,2.0,,
TSLAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,19,1,0,0.0,1,0.0,,
LINKUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,80,1,5,0.2297,0,1.14,,
GOOGLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,32,2,3,0.1424,1,0.0,,
PAXGUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,3920.551122477452,140,6,3,0.188,1,0.0,,
ONDOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,121,3,1,0.1566,0,1.17,,
ONUSDT,1,75,flow_churn,сильный,12,недели,0.0,0.0,54.5,0.0,0.0,0.0,0.07891955956017484,123,6,0,0.0,0,0.0,,
AMZNUSDT,0,23,none,,0,,0.0,0.0,23.3,0.0,0.0,0.0,,25,3,1,0.4249,0,0.0,,
SUIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,65,1,2,0.2443,1,1.53,,
CAPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
WLDUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,0.2911201387218385,156,4,5,0.0448,1,3.2,,
CFXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,145,1,3,0.162,1,1.31,,
AMDUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,5,0,3,0.1422,1,0.0,,
MSFTUSDT,1,83,flow_fuel,сильный,2,дни,0.0,0.0,36.7,0.0,62.3,0.0,389.46271540688684,20,5,0,0.0,0,0.0,,
ENAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,101,0,3,0.1731,1,1.17,,
1000SHIBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,70,1,3,0.0013,1,1.48,,
BEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,11,0,0,0.0,1,1.57,,
BCHUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,99,0,1,0.1609,1,1.29,,
COINUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,15,1,2,0.2403,1,0.0,,
KAITOUSDT,1,86,flow_fuel,экстремальный,25,недели,0.0,0.0,50.3,0.0,69.4,0.0,0.8609149959350648,168,6,0,0.0,0,0.0,,
METAUSDT,0,26,none,,0,,0.0,0.0,25.5,0.0,0.0,0.0,,48,1,2,0.1563,0,0.0,,
EULUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,82,4,10,0.2734,0,1.14,,
AVAXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,83,0,2,0.1867,1,1.33,,
TAOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,125,1,2,0.2247,1,2.64,,
AIOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,127,1,2,0.1731,1,3.94,,
BEATUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,84,6,0,0.0,0,89.62,,
LTCUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,99,1,5,0.2936,0,1.1,,
ORDIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,104,0,5,0.125,1,5.17,,
XLMUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,122,2,5,0.1025,1,2.19,,
LITEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,3,0,2,0.0143,0,1.32,,
FILUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,109,0,3,0.1639,1,1.46,,
ZHIPUUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
SPYUSDT,1,81,flow_churn,сильный,2,дни,0.0,0.0,65.6,0.0,0.0,0.0,733.4278318419496,45,2,3,0.1184,0,0.0,,
MVLLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
1000XECUSDT,1,85,flow_fuel,экстремальный,25,недели,0.0,0.0,48.7,0.0,67.2,0.0,0.005762,151,4,5,0.0835,0,1.33,,
TQQQUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
1000SATSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,97,1,2,0.2134,1,2.88,,
ERAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,112,3,0,0.0,1,1.6,,
XMRUSDT,1,76,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,55.6,0.0,312.8900740777555,170,5,1,0.3015,0,2.22,,
UAIUSDT,1,71,flow_fuel,сильный,12,недели,0.0,0.0,0.0,0.0,47.2,0.0,0.3031725366391503,96,6,2,0.067,0,5.3,,
UBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,131,6,0,0.0,0,13.73,,
TRXUSDT,1,83,flow_fuel,сильный,25,недели,0.0,34.8,0.0,0.0,69.4,0.0,0.31655203478332194,93,4,5,0.3304,0,0.0,,
ESPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,36,4,1,0.0817,0,3.77,,
LITUSDT,1,86,flow_fuel,экстремальный,12,недели,0.0,0.0,55.8,0.0,69.4,0.0,1.481187912477085,52,6,1,0.1335,0,0.0,,
LAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,156,1,2,0.1769,1,0.0,,
GRVTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
XAUTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,9,1,3,0.1878,1,0.0,,
INJUSDT,1,76,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,55.6,0.0,4.579709643740141,112,6,1,0.1375,1,2.79,,
ORCLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,6,0,1,0.0812,1,1.4,,
TRUMPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,118,0,0,0.0,1,1.11,,
USUSDT,1,86,flow_fuel,экстремальный,12,недели,0.0,0.0,48.7,0.0,69.4,0.0,0.038742,106,6,0,0.0,0,0.0,,
DOTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,83,0,0,0.0,1,1.17,,
ARMUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0.0,1,1.58,,
CBRSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,1,0.1714,1,1.18,,
BULLAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,179,6,0,0.0,0,19.2,,
REUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
TLMUSDT,1,73,flow_churn,сильный,25,недели,0.0,0.0,45.3,0.0,45.7,0.0,0.001490051526602279,206,4,10,0.0223,0,5.34,,
TSMUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,24,1,2,0.1962,1,0.0,,
WDCUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,6,0,1,0.1993,0,1.73,,
RIFUSDT,1,76,flow_churn,сильный,25,недели,0.0,0.0,57.1,0.0,0.0,0.0,0.07775033741537798,206,6,0,0.0,0,5.19,,
EPICUSDT,0,36,none,,0,,0.0,0.0,35.7,0.0,0.0,0.0,,203,6,0,0.0,0,0.0,,
ZAMAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,52,4,0,0.0,0,0.0,,
PENGUUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,108,0,2,0.1774,1,1.64,,
ROBOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,12,2,1,0.1009,1,1.89,,
AAOIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
TAGUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,139,6,5,0.0301,0,8.82,,
RLCUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,164,2,2,0.1146,1,0.0,,
1000BONKUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,106,1,1,0.0739,1,1.81,,
ESPORTSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,180,1,0,0.0,0,3.24,,
RKLBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,1,0.0984,1,1.36,,
OPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,84,0,0,0.0,1,1.51,,
MUSDT,1,71,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,47.3,0.0,0.7431753197418381,134,1,0,0.0,0,4.06,,
HOODUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,21,0,0,0.0,1,0.0,,
BIRBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,39,0,1,0.2239,0,1.99,,
BROCCOLI714USDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,143,2,1,0.3713,1,8.41,,
FETUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,118,0,0,0.0,1,1.64,,
BABAUSDT,1,83,flow_fuel,сильный,7,неделя,0.0,0.0,0.0,0.0,69.4,0.0,115.21679252169314,23,3,1,0.2296,1,0.0,,
ATOMUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,85,0,0,0.0,1,1.48,,
ARBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,98,0,3,0.1111,1,1.16,,
XPLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,52,1,1,0.2247,1,1.86,,
GLWUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
BTWUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
NATGASUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,4,0,1,0.1895,1,0.0,,
SQQQUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
SYNUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,216,6,0,0.0,0,26.56,,
DIAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,156,3,3,0.0564,0,1.13,,
SOONUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,0.15673263418028888,161,6,0,0.0,0,1.27,,
ALLOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,102,6,3,0.1295,0,12.39,,
LABUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,143,0,1,0.1752,0,259.49,,
IRENUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,7,0,1,0.1217,1,0.0,,
EVAAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,118,2,1,0.0386,0,14.03,,
ASTERUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,46,2,3,0.3392,1,0.0,,
HBARUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,88,0,2,0.206,1,1.13,,
WIFUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,69,0,1,0.1825,1,1.93,,
DASHUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,189,3,10,0.0229,1,2.76,,
ETCUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,90,1,1,0.2298,1,1.12,,
FARTCOINUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,50,0,3,0.0252,1,2.0,,
APTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,104,0,1,0.3019,1,1.42,,
LDOUSDT,0,35,none,,0,,0.0,0.0,35.2,0.0,0.0,0.0,,110,5,10,0.1495,0,1.39,,
MUBARAKUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,110,1,1,0.2186,1,1.84,,
SANDUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,104,0,0,0.0,1,1.66,,
SLXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,4,0,0,0.0,1,5.0,,
JTOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,167,6,5,0.0443,1,4.24,,
HOMEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,140,0,0,0.0,1,4.56,,
VVVUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,204,6,1,0.0564,0,21.13,,
VANRYUSDT,0,28,none,,0,,0.0,0.0,28.0,0.0,0.0,0.0,,139,1,0,0.0,0,1.67,,
VANAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,161,0,3,0.1474,1,0.0,,
WLFIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,42,0,3,0.1601,0,1.56,,
ICPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,156,0,2,0.2113,1,1.81,,
PLTRUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,22,0,1,0.2402,1,0.0,,
VIRTUALUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,107,1,3,0.0772,1,1.91,,
BOMEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,109,5,10,0.0971,0,2.67,,
RENDERUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,109,0,1,0.2706,1,2.3,,
ZROUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,131,0,1,0.1404,1,2.15,,
TIAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,102,0,10,0.0037,1,1.22,,
MIRAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,101,0,3,0.1464,1,1.71,,
QCOMUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,3,0,0,0.0,1,1.38,,
4USDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,71,3,3,0.0701,1,2.15,,
ACHUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,114,2,1,0.1298,1,1.78,,
JUPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,96,2,5,0.0644,1,2.05,,
SEIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,98,0,0,0.0,1,1.23,,
MINIMAXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
DELLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,9,0,2,0.0628,0,0.0,,
PTBUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,0.000577399288779867,103,3,0,0.0,1,3.01,,
NOKUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,0,0.0,1,1.18,,
NEIROUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,76,0,1,0.1512,1,1.6,,
PRLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,12,0,0,0.0,1,3.35,,
PEOPLEUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,68.2,0.0,0.006223505735705715,98,2,5,0.0276,1,1.56,,
ETHFIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,105,4,2,0.0576,1,1.22,,
AEROUSDT,1,87,flow_churn,экстремальный,25,недели,0.0,0.0,76.2,0.0,0.0,0.0,0.3245123243231567,146,3,1,0.2168,0,0.0,,
CRVUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,65,0,5,0.1205,1,1.38,,
BMNRUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
BABYUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,151,1,1,0.1061,1,122.53,,
CRWVUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,3,0,0,0.0,1,1.41,,
FLOWUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,128,2,2,0.0808,1,0.0,,
AVGOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,22,1,1,0.1855,1,0.0,,
TSTUSDT,1,71,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,47.2,0.0,0.010547742620690567,173,3,1,0.1874,1,4.6,,
HYPERUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,141,0,0,0.0,1,2.32,,
CAKEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,107,0,1,0.1797,0,1.1,,
GALAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,81,0,0,0.0,1,1.45,,
