symbol,detected,score,case,strength,horizon_days,horizon_tf,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,vortex_scale,vortex_spread,collapsing,growth_x,failures,error
BTCUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,43,1,2,0.1595,0,1.16,,
ETHUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,70,1,2,0.3123,0,1.19,,
SNDKUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,50,1,0,0.0,1,3.44,,
SKHYNIXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,10,0,0,0.0,1,1.67,,
SOXLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,17,0,0,0.0,1,2.24,,
MUUSDT,1,81,flow_fuel,сильный,7,неделя,0.0,0.0,0.0,0.0,64.7,0.0,753.1682827036693,44,0,1,0.0373,1,3.49,,
KORUUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
SKHYUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
XAUUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,62,0,5,0.3364,1,0.0,,
SNXXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
SOLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,69,1,2,0.2409,1,1.27,,
CLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,8,0,1,0.1214,1,1.21,,
BANKUSDT,0,36,none,,0,,0.0,0.0,36.1,0.0,0.0,0.0,,193,6,1,0.0031,0,0.0,,
SPCXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,9,0,0,0.0,1,1.5,,
DRAMUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,14,0,1,0.0319,1,1.76,,
XAGUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,16,0,3,0.335,1,1.67,,
KOMAUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,0.007377113591381889,140,5,0,0.0,0,0.0,,
SOXSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
MMTUSDT,1,83,flow_fuel,сильный,12,недели,0.0,0.0,0.0,0.0,69.4,0.0,0.1708208750613477,81,6,0,0.0,1,0.0,,
EWYUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,52,1,1,0.0154,1,0.0,,
SAMSUNGUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,13,0,1,0.0942,1,1.14,,
BZUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,12,0,1,0.0768,1,0.0,,
HYPEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,122,6,5,0.0409,1,0.0,,
XRPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,80,0,3,0.2025,1,1.37,,
MUUUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
BNBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,127,0,1,0.3247,1,1.17,,
ZECUSDT,1,84,flow_spring,сильный,25,недели,38.1,65.5,0.0,0.0,55.6,0.0,363.81989471216775,220,6,5,0.1558,0,3.74,,
COTIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,100,2,0,0.0,1,0.0,,
DOGEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,81,0,2,0.2109,1,1.36,,
QQQUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,45,0,3,0.3268,1,0.0,,
GIGGLEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,51,3,10,0.064,1,0.0,,
AAPLUSDT,1,86,flow_churn,экстремальный,2,дни,0.0,0.0,75.4,0.0,0.0,0.0,293.6241458208912,37,4,1,0.3999,0,0.0,,
UNIUSDT,1,76,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,55.6,0.0,3.6840599988720877,115,5,10,0.0386,1,1.35,,
INTCUSDT,1,83,flow_fuel,сильный,12,недели,0.0,0.0,0.0,0.0,69.4,0.0,82.79,58,3,1,0.0154,1,3.57,,
MRVLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,4,0,1,0.0781,1,2.1,,
AXTIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
ADAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,83,0,1,0.1131,1,1.19,,
AKEUSDT,0,36,none,,0,,0.0,0.0,36.1,0.0,0.0,0.0,,147,6,0,0.0,0,0.0,,
TSLAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,16,1,0,0.0,1,0.0,,
NVDAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,33,0,3,0.1701,1,0.0,,
CRCLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,21,0,2,0.0838,1,2.54,,
NBISUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,2,0,1,0.1379,1,1.51,,
AMZNUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,21,3,1,0.338,1,0.0,,
MSTRUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,41,4,3,0.2642,1,1.69,,
1000PEPEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,67,0,2,0.1358,1,2.0,,
DEXEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,257,2,0,0.0,1,29.1,,
ONDOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,118,4,5,0.0044,1,1.17,,
1000RATSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,163,1,2,0.3403,1,2.52,,
SUIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,65,1,2,0.1822,1,1.53,,
LINKUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,82,1,5,0.2022,1,1.14,,
PAXGUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,3910.916657708666,140,6,3,0.2138,1,0.0,,
CAPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
AAVEUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,90.9400889004077,97,3,1,0.2321,1,1.14,,
ONUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,125,6,0,0.0,0,0.0,,
WLDUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,0.2911111687291574,156,5,0,0.0,1,3.2,,
PUMPUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,0.001692268623809955,50,3,10,0.0154,0,2.0,,
GOOGLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,33,3,3,0.179,1,0.0,,
NEARUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,139,6,0,0.0,1,3.67,,
