symbol,detected,score,case,strength,horizon_days,horizon_tf,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_spread,collapsing,growth_x,failures,error
ETHUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,66,1,1,5,,0,1.19,,
BTCUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,52,1,1,10,,0,1.16,,
BLESSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,118,9,8,1,,0,9.27,,
SOLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,70,2,1,5,,0,1.27,,
ZECUSDT,1,76,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,55.6,0.0,365.2209466794643,217,17,17,10,,0,3.74,flow_hidden,
1000RATSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,173,4,4,10,,0,3.25,,
HYPEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,119,7,6,5,,0,3.76,,
XRPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,79,0,0,10,,0,1.37,,
AKEUSDT,1,72,flow_churn,сильный,2,дни,0.0,0.0,48.7,0.0,0.0,0.0,0.0031325000000000003,149,9,9,5,,0,39.91,,
DOGEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,83,0,0,10,,0,1.36,,
ADAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,79,0,0,1,,0,1.19,,
HOMEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,143,2,2,3,,0,4.56,,
BNBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,123,0,0,5,,0,1.17,,
GIGGLEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,54,3,1,2,,0,0.0,,
BANKUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,194,6,6,1,,0,30.26,flow_churn;flow_hidden;flow_taker,
KOMAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,148,5,5,10,,0,5.83,,
BEATUSDT,1,79,flow_hidden,сильный,5,неделя,61.2,0.0,0.0,0.0,0.0,0.0,3.371,88,9,7,3,,0,89.62,,
BICOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,178,2,2,10,,0,3.87,flow_churn,
KAITOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,177,16,14,1,,0,5.19,flow_churn,
UAIUSDT,1,71,flow_fuel,сильный,2,дни,0.0,0.0,0.0,0.0,47.2,0.0,0.30707858043507835,101,9,7,5,,0,5.3,flow_churn;flow_taker,
ENAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,97,2,2,10,,0,1.17,,
1000PEPEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,66,1,0,10,,0,2.0,,
ICNTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,117,1,1,5,,0,2.67,,
WLDUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,0.29980000000000007,150,5,4,1,,0,3.2,,
COTIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,107,4,3,10,,0,1.09,,
UNIUSDT,1,76,flow_fuel,сильный,2,дни,0.0,0.0,0.0,0.0,55.6,0.0,3.59117352302986,110,4,4,5,,0,1.35,flow_churn,
LINKUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,79,1,1,10,,0,1.14,flow_taker,
MANTRAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,36,2,1,2,,0,0.0,,
PUMPUSDT,1,83,flow_fuel,сильный,2,дни,0.0,0.0,0.0,0.0,69.4,0.0,0.0016946119843160327,48,3,3,5,,0,2.0,,
AAVEUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,82.39000000000001,88,3,3,10,,0,1.14,,
AVAXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,85,0,0,5,,0,1.33,,
ONDOUSDT,1,76,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,55.6,0.0,0.34778354349812707,117,4,3,5,,0,1.17,flow_taker,
SUIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,67,0,0,1,,0,1.53,,
NEARUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,1.5813896315732165,141,4,3,10,,0,3.67,,
UBUSDT,1,71,flow_fuel,сильный,7,неделя,0.0,0.0,0.0,0.0,47.2,0.0,0.13105087177633545,133,11,10,1,,0,13.73,,
BTWUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,5,1,0,0,,0,12.39,,
DEXEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,255,1,1,5,,0,29.1,,
HYPERUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,147,1,1,10,,0,2.32,,
1000SHIBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,70,2,2,10,,0,1.48,,
TAKEUSDT,1,75,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,53.8,0.0,0.021177953284458588,95,6,5,3,,0,1.91,,
AIOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,129,2,2,5,,0,3.94,,
TAOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,128,1,1,10,,0,2.64,,
SKYAIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,189,3,3,5,,0,31.89,,
ALLOUSDT,1,71,flow_fuel,сильный,7,неделя,0.0,0.0,0.0,0.0,47.2,0.0,0.22487316365828128,101,7,6,3,,0,12.39,flow_churn,
EULUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,85,7,5,5,,0,1.08,,
MMTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,86,7,6,3,,0,4.71,flow_churn,
GRVTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,0,,,
USUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,101,15,14,3,,0,23.39,flow_churn,
PENGUUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,110,1,0,5,,0,1.64,,
ONUSDT,0,37,none,,0,,0.0,0.0,36.6,0.0,0.0,0.0,,125,10,7,3,,0,6.07,,
INJUSDT,1,76,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,55.6,0.0,4.576429926960156,110,7,7,1,,0,2.79,,
DOTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,84,0,0,10,,0,1.17,,
XLMUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,120,1,1,10,,0,2.19,,
LTCUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,98,0,0,1,,0,1.1,,
VANRYUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,145,2,1,5,,0,1.67,,
FILUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,107,0,0,10,,0,1.46,,
TRXUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,0.31575078901038806,91,5,3,5,,0,1.42,flow_hidden,
BCHUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,104,0,0,1,,0,1.29,,
PTBUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,0.0005777464431068588,109,6,4,10,,0,3.01,,
WAXPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,110,2,2,2,,0,1.36,,
ALGOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,88,0,0,10,,0,1.39,,
IDOLUSDT,0,27,none,,0,,0.0,0.0,27.1,0.0,0.0,0.0,,156,5,5,10,,0,1.73,,
EPICUSDT,1,77,flow_fuel,сильный,5,неделя,0.0,0.0,0.0,0.0,59.0,0.0,0.5988644076635976,201,13,13,5,,0,5.06,flow_churn,
ZAMAUSDT,1,71,flow_fuel,сильный,2,дни,0.0,0.0,0.0,0.0,48.0,0.0,0.04755000000000001,58,3,3,2,,0,0.0,flow_churn,
TRUMPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,116,0,0,2,,0,1.11,,
LITUSDT,1,83,flow_fuel,сильный,7,неделя,0.0,0.0,0.0,0.0,69.4,0.0,1.4658,50,8,8,3,,0,0.0,flow_churn,
HUSDT,1,71,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,47.2,0.0,0.0577928984910461,155,5,5,5,,1,18.82,,
ARBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,96,0,0,10,,0,1.16,,
NILUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,179,1,1,5,,0,3.6,,
STARUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,18,1,1,1,,0,0.0,,
REUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,0,,,
OPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,85,0,0,5,,0,1.51,,
EDENUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,86,4,3,5,,0,6.82,,
WIFUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,70,0,0,10,,0,1.93,,
LABUSDT,0,43,none,,0,,42.6,0.0,0.0,0.0,0.0,0.0,,141,0,0,2,,0,252.43,,
ACEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,197,2,2,5,,0,1.52,flow_churn;flow_taker,
HBARUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,90,0,0,1,,0,1.13,flow_taker,
ESPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,40,3,3,2,,0,3.77,,
XMRUSDT,1,85,flow_taker,экстремальный,25,недели,0.0,0.0,0.0,68.6,55.6,0.0,312.71878664010364,169,7,6,10,,0,2.22,,
ESPORTSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,176,0,0,5,,0,3.24,,
GWEIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,53,0,0,2,,0,10.96,,
FHEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,180,3,3,10,,0,24.38,,
RIFUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,209,12,9,10,,0,5.19,flow_churn,
SYNUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,216,7,7,10,,0,26.56,flow_churn;flow_hidden,
PORTALUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,186,1,0,1,,0,6.81,,
ZESTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,6,1,0,1,,0,1.71,,
PIEVERSEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,70,3,3,2,,0,5.22,,
PEOPLEUSDT,1,83,flow_fuel,сильный,2,дни,0.0,0.0,0.0,0.0,68.2,0.0,0.0062300245566872,100,7,5,5,,0,1.56,,
LAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,156,2,2,5,,0,0.0,,
ATOMUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,80,0,0,1,,0,1.48,,
ACXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,125,2,2,10,,0,2.18,,
ETCUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,89,0,0,10,,0,1.12,,
1000BONKUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,107,1,1,1,,0,1.81,,
ELSAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,53,3,3,2,,0,0.0,flow_churn;flow_taker,
币安人生USDT,0,35,none,,0,,0.0,0.0,0.0,0.0,35.4,0.0,,77,7,6,3,,0,24.53,,
APTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,105,0,0,10,,0,1.42,,
VICUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,202,1,1,10,,0,1.11,flow_taker,
ORDIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,105,2,0,10,,0,5.17,,
WLFIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,42,1,0,5,,0,1.56,flow_taker,
1000SATSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,102,3,2,5,,0,2.88,,
BULLAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,181,9,9,1,,0,19.2,flow_churn,
MIRAUSDT,0,21,none,,0,,0.0,0.0,21.1,0.0,0.0,0.0,,105,2,2,5,,0,1.71,,
BOMEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,116,7,5,5,,0,2.67,,
FETUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,112,0,0,10,,0,1.64,,
FARTCOINUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,48,0,0,10,,0,2.0,,
1000XECUSDT,1,81,flow_fuel,сильный,2,дни,0.0,0.0,0.0,0.0,64.7,0.0,0.005762,159,4,4,1,,0,1.33,flow_churn;flow_taker,
CAPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,0,,,
SLXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,4,0,0,1,,0,5.0,,
PRLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,14,3,0,2,,0,3.35,,
ZEREBROUSDT,1,71,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,47.2,0.0,0.029864093503843267,185,11,9,1,,0,9.61,,
LDOUSDT,0,42,none,,0,,0.0,0.0,0.0,0.0,41.7,0.0,,110,2,1,10,,0,1.39,flow_churn,
ICPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,155,0,0,10,,0,1.81,,
DASHUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,189,4,3,1,,0,2.76,,
SNOWUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,0,,,
TLMUSDT,0,35,none,,0,,0.0,0.0,34.6,0.0,0.0,0.0,,202,2,2,1,,0,5.34,,
TIAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,97,0,0,10,,0,1.22,,
KGENUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,66,5,5,3,,0,2.63,,
JTOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,168,6,4,10,,0,4.24,,
XPLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,51,1,1,10,,0,1.86,,
HOLOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,101,6,6,2,,0,1.57,flow_hidden,
VIRTUALUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,103,2,2,10,,0,1.91,flow_spring,
VVVUSDT,1,87,flow_hidden,экстремальный,25,недели,70.3,0.0,0.0,0.0,47.2,0.0,11.742,205,16,14,2,,0,21.13,,
ASTERUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,49,1,1,2,,0,1.11,,
1000LUNCUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,176,6,5,1,,0,4.13,,
LITEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,3,0,0,1,,0,1.32,,
TUTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,155,9,8,10,,0,1.85,flow_churn,
HFTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,142,1,1,1,,0,1.09,,
SANDUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,102,0,0,10,,0,1.66,,
GUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,187,6,6,5,,0,1.63,,
ERAUSDT,0,26,none,,0,,0.0,0.0,25.5,0.0,0.0,0.0,,114,3,3,5,,0,1.6,,
AEROUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,142,1,1,10,,0,1.1,flow_churn,
ZROUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,131,0,0,10,,0,2.15,,
XANUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,0.011183065476730657,89,7,6,3,,0,0.0,,
ETHFIUSDT,1,81,flow_churn,сильный,2,дни,0.0,0.0,64.8,0.0,33.7,0.0,0.38787772195832265,106,3,2,5,,0,1.22,,
CRVUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,63,0,0,5,,0,1.38,,
PENDLEUSDT,1,78,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,60.8,0.0,1.2277708944827277,95,2,1,5,,0,1.12,,
STRKUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,147,0,0,1,,0,1.09,,
BSBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,22,0,0,3,,0,22.24,,
CLOUSDT,1,70,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,45.7,0.0,0.10804927571842911,110,2,2,3,,0,6.01,,
MUBARAKUSDT,1,76,flow_taker,сильный,25,недели,0.0,0.0,0.0,56.9,0.0,0.0,0.013179273505761563,111,3,3,1,,0,1.84,,
SOONUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,162,10,9,5,,0,1.27,,
SAGAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,138,2,0,5,,0,1.19,,
TAGUSDT,1,86,flow_churn,экстремальный,2,дни,0.0,0.0,74.2,0.0,0.0,0.0,0.0005673587232291156,142,11,11,5,,0,8.82,,
RENDERUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,109,0,0,5,,0,2.3,,
ZENUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,160,0,0,5,,0,2.0,,
CFXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,152,2,2,5,,0,1.31,,
SEIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,93,0,0,10,,0,1.23,,
SAHARAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,122,0,0,1,,0,3.67,,
CHZUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,147,0,0,5,,0,2.29,,
POLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,91,0,0,10,,0,1.89,,
